TEAM_ID,TEAM_NAME,GP,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,SEASON,SEASON_START_YEAR,TEAM_SUCCESS_GROUP,TWO_PM,TWO_PA,TWO_PCT,FG3A_RATE,FT_RATE,OREB_SHARE,ASSISTED_FG_RATE,BALL_CONTROL,BLOCK_ADVANTAGE,FOUL_BALANCE
1610612763,Memphis Grizzlies,82,0.512,48.4,36.8,83.6,0.44,6.1,18.5,0.331,19.3,24.7,0.783,11.2,30.5,41.6,20.7,13.3,8.8,4.3,5.7,21.7,21.1,99.1,-2.2,2015-16,2015,Average,30.699999999999996,65.1,0.472,0.221,0.295,0.269,0.562,7.399999999999999,-1.4000000000000004,-0.5999999999999979
1610612748,Miami Heat,82,0.585,48.4,38.4,81.7,0.47,6.1,18.0,0.336,17.1,23.0,0.744,9.8,34.3,44.1,20.8,14.1,6.7,6.5,4.1,18.3,19.6,100.0,1.6,2015-16,2015,Average,32.3,63.7,0.507,0.22,0.282,0.222,0.542,6.700000000000001,2.4000000000000004,1.3000000000000007
1610612749,Milwaukee Bucks,82,0.402,48.4,38.4,82.2,0.467,5.4,15.6,0.345,17.0,22.7,0.747,10.5,31.2,41.7,23.1,15.2,8.2,5.8,5.6,20.7,19.5,99.0,-4.2,2015-16,2015,Average,33.0,66.60000000000001,0.495,0.19,0.276,0.252,0.602,7.900000000000002,0.20000000000000018,-1.1999999999999993
1610612750,Minnesota Timberwolves,82,0.354,48.5,37.7,81.3,0.464,5.5,16.4,0.338,21.4,27.0,0.792,10.0,31.5,41.6,23.4,15.0,8.0,4.6,5.2,20.7,21.6,102.4,-3.5,2015-16,2015,Unsuccessful,32.2,64.9,0.496,0.202,0.332,0.24,0.621,8.399999999999999,-0.6000000000000005,0.9000000000000021
1610612740,New Orleans Pelicans,82,0.366,48.2,38.5,85.9,0.448,8.6,23.8,0.36,17.3,22.2,0.776,9.5,33.1,42.6,22.2,13.4,7.7,4.2,5.2,20.9,19.9,102.7,-3.8,2015-16,2015,Unsuccessful,29.9,62.10000000000001,0.481,0.277,0.258,0.223,0.577,8.799999999999999,-1.0,-1.0
1610612752,New York Knicks,82,0.39,48.3,36.9,84.0,0.439,7.4,21.5,0.346,17.2,21.4,0.805,10.4,34.0,44.4,20.5,13.4,5.7,5.7,4.2,19.7,18.5,98.4,-2.7,2015-16,2015,Unsuccessful,29.5,62.5,0.472,0.256,0.255,0.234,0.556,7.1,1.5,-1.1999999999999993
1610612760,Oklahoma City Thunder,82,0.671,48.4,41.1,86.4,0.476,8.3,23.7,0.349,19.7,25.2,0.782,13.1,35.6,48.6,23.0,15.9,7.4,5.9,4.5,20.6,20.2,110.2,7.3,2015-16,2015,Successful,32.8,62.7,0.523,0.274,0.292,0.27,0.56,7.1,1.4000000000000004,-0.40000000000000213
1610612753,Orlando Magic,82,0.427,48.5,39.5,86.8,0.455,7.8,22.2,0.35,15.2,20.1,0.757,10.3,33.0,43.3,23.6,14.1,8.2,5.1,5.5,20.7,18.3,102.1,-1.6,2015-16,2015,Average,31.7,64.6,0.491,0.256,0.232,0.238,0.597,9.500000000000002,-0.40000000000000036,-2.3999999999999986
1610612755,Philadelphia 76ers,82,0.122,48.3,36.2,84.0,0.431,9.3,27.5,0.339,15.7,22.6,0.694,9.5,31.8,41.2,21.5,16.4,8.3,6.0,5.7,21.7,19.2,97.4,-10.2,2015-16,2015,Unsuccessful,26.900000000000002,56.5,0.476,0.327,0.269,0.231,0.594,5.100000000000001,0.2999999999999998,-2.5
1610612756,Phoenix Suns,82,0.28,48.1,37.2,85.6,0.435,9.0,25.8,0.348,17.5,23.2,0.751,11.5,33.3,44.8,20.7,17.2,7.7,3.8,5.5,22.7,21.6,100.9,-6.7,2015-16,2015,Unsuccessful,28.200000000000003,59.8,0.472,0.301,0.271,0.257,0.556,3.5,-1.7000000000000002,-1.0999999999999979
