TEAM_ID,TEAM_NAME,GP,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,POSS,PIE,GP_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SEASON,SEASON_START_YEAR,TEAM_SUCCESS_GROUP,SHOOTING_EFFICIENCY_GAP,REB_PCT_BALANCE,PACE_ADJ_NET_RATING,POSSESSION_CONTROL_INDEX,TEAM_SUCCESS_GROUP_ENCODED
1610612748,Miami Heat,82,0.585,3966.0,105.5,103.7,1.7,0.543,1.48,16.3,0.28,0.729,0.512,0.148,0.508,0.545,94.14,7779,0.525,1,7,11,12,8,11,26,20,20,15,11,8,16,11,13,25,7,2015-16,2015,Average,0.037,0.449,1.806,0.364,
1610612749,Milwaukee Bucks,82,0.402,3966.0,103.4,107.8,-4.5,0.603,1.52,17.6,0.286,0.689,0.49,0.159,0.499,0.537,95.05,7858,0.483,1,21,11,26,23,26,8,17,8,13,30,25,24,17,17,23,24,2015-16,2015,Average,0.038,0.403,-4.734,0.331,
1610612750,Minnesota Timberwolves,82,0.354,3976.0,105.4,109.0,-3.5,0.619,1.56,17.6,0.279,0.702,0.494,0.155,0.498,0.549,96.2,7965,0.497,1,26,5,13,28,24,4,14,6,18,25,20,23,18,9,19,14,2015-16,2015,Unsuccessful,0.051,0.423,-3.638,0.339,0.0
1610612740,New Orleans Pelicans,82,0.366,3956.0,104.8,108.4,-3.7,0.577,1.65,16.8,0.252,0.748,0.493,0.137,0.498,0.537,97.64,8041,0.472,1,25,23,18,26,25,19,11,16,24,3,22,4,19,18,8,26,2015-16,2015,Unsuccessful,0.039,0.496,-3.789,0.356,0.0
1610612752,New York Knicks,82,0.39,3961.0,103.9,106.7,-2.8,0.557,1.53,16.0,0.28,0.718,0.502,0.142,0.483,0.527,94.12,7763,0.487,1,24,19,24,18,22,23,16,24,16,17,13,10,28,24,26,21,2015-16,2015,Unsuccessful,0.044,0.438,-2.975,0.36,0.0
1610612760,Oklahoma City Thunder,82,0.671,3966.0,112.1,104.8,7.4,0.558,1.44,16.7,0.347,0.72,0.541,0.162,0.524,0.565,97.54,8061,0.546,1,5,11,2,11,3,21,22,17,1,16,1,28,4,2,10,3,2015-16,2015,Successful,0.041,0.373,7.587,0.379,1.0
1610612753,Orlando Magic,82,0.427,3981.0,104.4,106.0,-1.6,0.596,1.67,17.6,0.271,0.726,0.495,0.144,0.5,0.533,96.68,8018,0.488,1,20,3,22,17,19,11,9,7,20,13,17,14,16,20,14,20,2015-16,2015,Average,0.033,0.455,-1.655,0.351,
1610612755,Philadelphia 76ers,82,0.122,3961.0,98.4,108.6,-10.2,0.594,1.31,16.3,0.25,0.693,0.466,0.165,0.487,0.519,98.44,8119,0.428,1,30,19,30,27,30,12,28,21,26,28,30,29,27,29,6,29,2015-16,2015,Unsuccessful,0.032,0.443,-10.362,0.301,0.0
1610612756,Phoenix Suns,82,0.28,3941.0,101.5,107.9,-6.5,0.558,1.21,15.4,0.297,0.733,0.508,0.173,0.487,0.526,99.39,8152,0.45,1,27,29,28,24,27,22,30,26,7,8,10,30,25,25,4,28,2015-16,2015,Unsuccessful,0.039,0.436,-6.54,0.335,0.0
1610612757,Portland Trail Blazers,82,0.537,3961.0,107.6,106.8,0.8,0.552,1.46,16.0,0.294,0.728,0.51,0.15,0.511,0.548,97.06,8012,0.493,1,12,19,6,19,13,25,21,23,9,12,9,17,8,10,12,18,2015-16,2015,Average,0.037,0.434,0.824,0.36,
