TEAM_ID,TEAM_NAME,GP,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,POSS,PIE,GP_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SEASON,SEASON_START_YEAR,TEAM_SUCCESS_GROUP,SHOOTING_EFFICIENCY_GAP,REB_PCT_BALANCE,PACE_ADJ_NET_RATING,POSSESSION_CONTROL_INDEX,TEAM_SUCCESS_GROUP_ENCODED,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,TWO_PCT,FG3A_RATE,FT_RATE,OREB_SHARE,ASSISTED_FG_RATE,BALL_CONTROL,NEXT_W_PCT,NEXT_SEASON_START_YEAR,W_PCT_CHANGE,DECLINE_RISK
1610612738,Boston Celtics,82,0.585,3956.0,105.8,102.5,3.3,0.616,1.76,17.4,0.29,0.707,0.495,0.138,0.488,0.531,99.43,8191,0.52,1,7,23,10,4,8,5,4,10,12,24,18,5,24,21,3,9,2015-16,2015,Average,0.043,0.417,3.319,0.357,1,39.2,89.2,0.439,8.7,26.1,0.335,18.5,23.5,0.788,11.6,33.3,44.9,24.2,13.7,9.2,4.2,5.5,21.9,21.0,105.7,3.2,7,1,24,12,11,28,8,12,6,3,15,6,6,12,2,22,24,29,10,5,8,0.483,0.293,0.263,0.258,0.617,10.5,0.646,2016.0,0.061000000000000054,0.0
1610612738,Boston Celtics,82,0.646,3951.0,110.6,108.0,2.6,0.653,1.9,18.8,0.259,0.705,0.485,0.136,0.525,0.567,97.21,8005,0.514,1,4,25,7,14,8,2,3,2,23,29,27,7,9,6,13,7,2016-17,2016,Successful,0.042,0.446,2.675,0.349,2,38.6,85.1,0.454,12.0,33.4,0.359,18.7,23.2,0.807,9.1,32.9,42.0,25.2,13.3,7.5,4.1,5.2,20.6,20.3,108.0,2.6,21,18,16,3,3,14,10,15,3,22,22,27,4,8,18,23,23,21,11,7,8,0.515,0.392,0.273,0.217,0.653,11.9,0.671,2017.0,0.025000000000000022,0.0
1610612738,Boston Celtics,82,0.671,3961.0,106.8,103.2,3.6,0.586,1.6,17.0,0.263,0.739,0.504,0.144,0.518,0.552,96.75,7987,0.519,1,4,12,18,2,7,13,17,21,19,10,11,15,15,14,22,8,2017-18,2017,Successful,0.034,0.476,3.721,0.36,2,38.3,85.1,0.45,11.5,30.4,0.377,16.0,20.7,0.771,9.4,35.1,44.5,22.5,14.0,7.4,4.5,4.4,19.7,19.2,104.0,3.6,25,25,21,7,10,2,21,20,17,20,6,8,20,15,23,18,6,17,22,20,6,0.49,0.357,0.243,0.211,0.587,8.5,0.598,2018.0,-0.07300000000000006,1.0
1610612738,Boston Celtics,82,0.598,3956.0,111.3,107.0,4.3,0.624,2.05,18.8,0.257,0.728,0.495,0.127,0.534,0.567,100.43,8282,0.53,1,9,18,10,6,6,8,2,4,24,15,23,3,7,10,16,5,2018-19,2018,Average,0.033,0.471,4.282,0.368,1,42.1,90.5,0.465,12.6,34.5,0.365,15.6,19.5,0.802,9.8,34.7,44.5,26.3,12.8,8.6,5.3,3.9,20.4,19.5,112.4,4.4,11,9,14,6,7,7,28,29,4,20,16,22,5,3,4,10,2,12,26,14,6,0.527,0.381,0.215,0.22,0.625,13.5,0.667,2019.0,0.06900000000000006,0.0
1610612738,Boston Celtics,72,0.667,3486.0,112.8,106.5,6.3,0.557,1.66,16.7,0.283,0.731,0.509,0.137,0.531,0.57,99.92,7255,0.531,11,5,13,4,4,3,26,15,25,5,16,12,8,17,13,17,4,2019-20,2019,Successful,0.039,0.448,6.305,0.372,2,41.3,89.6,0.461,12.6,34.5,0.364,18.6,23.2,0.801,10.7,35.4,46.1,23.0,13.8,8.3,5.6,5.5,21.6,20.7,113.7,6.3,12,11,17,12,13,13,11,18,5,6,11,8,25,8,6,5,25,20,15,9,3,0.521,0.385,0.259,0.232,0.557,9.2,0.5,2020.0,-0.16700000000000004,1.0
1610612738,Boston Celtics,72,0.5,3476.0,113.1,111.8,1.2,0.566,1.67,17.1,0.289,0.737,0.51,0.141,0.543,0.574,98.94,7172,0.501,1,16,16,10,13,13,27,22,26,3,13,10,18,12,16,20,17,2020-21,2020,Average,0.031,0.448,1.213,0.369,1,41.5,88.9,0.466,13.6,36.4,0.374,16.1,20.8,0.775,10.6,33.6,44.3,23.5,14.1,7.7,5.3,4.6,20.4,19.3,112.6,1.5,13,11,19,11,10,10,25,25,16,4,22,15,25,16,13,6,11,24,13,16,13,0.531,0.409,0.234,0.239,0.566,9.4,0.622,2021.0,0.122,0.0
1610612738,Boston Celtics,82,0.622,3981.0,113.6,106.2,7.4,0.609,1.82,18.2,0.277,0.725,0.509,0.139,0.542,0.578,97.26,8068,0.547,1,6,2,9,1,2,14,11,10,11,16,10,13,9,9,24,2,2021-22,2021,Successful,0.036,0.448,7.608,0.37,2,40.7,87.4,0.466,13.2,37.1,0.356,17.0,20.9,0.816,10.5,35.5,46.1,24.8,13.6,7.2,5.8,4.6,18.5,19.4,111.8,7.3,13,18,15,8,9,14,14,24,2,11,4,5,14,13,19,2,11,5,20,12,2,0.547,0.424,0.239,0.228,0.609,11.2,0.695,2022.0,0.07299999999999995,0.0
1610612738,Boston Celtics,82,0.695,3996.0,117.3,110.6,6.7,0.632,2.0,19.1,0.255,0.746,0.506,0.133,0.566,0.6,99.15,8247,0.534,1,2,1,2,2,1,5,4,5,27,1,9,7,4,5,20,1,2022-23,2022,Successful,0.034,0.491,6.757,0.373,2,42.2,88.8,0.475,16.0,42.6,0.377,17.5,21.6,0.812,9.7,35.6,45.3,26.7,13.4,6.4,5.2,3.9,18.8,19.1,117.9,6.5,13,15,14,2,2,6,24,28,4,20,3,7,7,7,27,6,4,7,25,4,1,0.567,0.48,0.243,0.214,0.633,13.3,0.78,2023.0,0.08500000000000008,0.0
1610612738,Boston Celtics,82,0.78,3966.0,122.2,110.6,11.7,0.613,2.25,19.3,0.287,0.726,0.515,0.121,0.578,0.609,97.98,8090,0.555,1,1,7,1,2,1,21,3,13,14,7,5,1,2,1,19,1,2023-24,2023,Successful,0.031,0.439,11.941,0.394,2,43.9,90.2,0.487,16.5,42.5,0.388,16.3,20.2,0.807,10.7,35.6,46.3,26.9,11.9,6.8,6.6,3.7,16.2,17.3,120.6,11.3,4,8,8,1,1,2,19,26,7,14,1,2,14,1,27,1,1,2,30,2,1,0.574,0.471,0.224,0.231,0.613,15.0,0.744,2024.0,-0.03600000000000003,0.0
1610612738,Boston Celtics,82,0.744,3966.0,119.5,110.1,9.4,0.628,2.2,19.0,0.291,0.717,0.506,0.122,0.561,0.591,96.59,7979,0.542,1,3,6,2,4,2,20,3,13,18,7,11,2,5,8,29,3,2024-25,2024,Successful,0.03,0.426,9.732,0.384,2,41.6,90.0,0.462,17.8,48.2,0.368,15.3,19.1,0.799,11.4,33.9,45.3,26.1,11.9,7.2,5.5,3.6,15.9,17.5,116.3,9.1,16,11,19,1,1,10,30,30,6,10,7,8,16,2,29,5,1,2,27,8,3,0.569,0.536,0.212,0.252,0.627,14.2,,,,
