TEAM_ID,SEASON,SEASON_START_YEAR,PLAYER_COUNT,ROTATION_PLAYER_COUNT,MINUTES_WEIGHTED_AGE,MINUTES_WEIGHTED_AVAILABILITY,TOP3_MINUTES_SHARE,TOP5_MINUTES_SHARE,TOP3_POINTS_SHARE,MULTI_TEAM_PLAYER_SHARE,MULTI_TEAM_MINUTES_SHARE,RETURNING_MINUTES_SHARE,RETURNING_POINTS_SHARE,RETURNING_PLAYER_SHARE,MW_PLAYER_OFF_RATING,MW_PLAYER_DEF_RATING,MW_PLAYER_NET_RATING,MW_PLAYER_TS_PCT,MW_PLAYER_EFG_PCT,MW_PLAYER_USG_PCT,MW_PLAYER_PIE,MW_PLAYER_AST_PCT,MW_PLAYER_REB_PCT,MW_PLAYER_PACE,ROTATION_USAGE_STD,ROTATION_AGE_STD
1610612737,2015-16,2015,15,8,29.126513593855407,0.8875484076267058,0.3748875380023299,0.5866500316077511,0.4494082153631933,0.13333333333333333,0.07155801192005634,,,,103.05914061254676,99.43417025320457,3.629542836131081,0.5543350302818448,0.5204042416959167,0.19238969822470134,0.10496796929332815,0.16629220013137821,0.08492668482657885,99.11877611484145,0.05483383991660623,3.75624480032918
1610612738,2015-16,2015,15,9,25.64314270264625,0.8978998029405154,0.38781496485202205,0.6045582540675115,0.4749852158486103,0.0,0.0,,,,105.01125036520321,101.45929046354591,3.5656543600193844,0.529890997120235,0.4909548091384311,0.19520900024728086,0.10341977875913332,0.1546466319955567,0.0859093122182217,100.51421434893706,0.044080173869837,2.1829869671542776
1610612739,2015-16,2015,17,10,28.60319370113314,0.8488175576403948,0.3667480551937034,0.569162700202687,0.47904533516044306,0.17647058823529413,0.08835973886621995,,,,108.93507454598077,102.76318908026342,6.15123164609064,0.5583428441477534,0.5282149534638622,0.19326275230776394,0.10436469598453273,0.1501315943117795,0.09174242280533766,94.85516914006071,0.06331232107575903,3.7202150475476548
1610612740,2015-16,2015,19,9,27.173608374233844,0.7178505066943672,0.31477613124394793,0.4922094678878649,0.4469449485783424,0.15789473684210525,0.060025009566675905,,,,103.44674397833153,107.10145330638068,-3.655230475975111,0.537238396354407,0.502254883317297,0.1950464006625494,0.09339981352561022,0.1409364488345308,0.08791910917573383,98.58374683377399,0.06955378059503112,2.006163342807532
1610612741,2015-16,2015,15,10,27.756716599142592,0.7942150957073982,0.3488924389171485,0.5418913455788689,0.4422195416164053,0.06666666666666667,0.03927917121518156,,,,102.85792760919378,104.47486909047183,-1.6147585330676149,0.5242164358155013,0.4878930590940739,0.1972039236464674,0.09950261437747884,0.15088949809731345,0.08928789682235373,97.6600840556232,0.04388393783606936,3.935733730830886
1610612742,2015-16,2015,15,8,31.067553026786882,0.8577115339671215,0.35499234773370647,0.5576456757463919,0.3828665182233681,0.06666666666666667,0.04451972167839708,,,,103.7998601768568,104.09881517245869,-0.2873015275606494,0.5445643460106318,0.5013174093824412,0.1952300170828299,0.1022818915100604,0.15007912592908637,0.08841903216910195,96.87397327820722,0.030024729390953714,2.9764702249476644
1610612743,2015-16,2015,16,11,24.67845588219677,0.7979467952549111,0.3496831691159448,0.5317280738457879,0.3807333898099964,0.1875,0.12129442524621989,,,,103.80994095820263,107.24396013754755,-3.4287573781007143,0.5330896605277187,0.49197758255295565,0.19494175273300354,0.0959027787748583,0.14840345500075403,0.09094554204481979,97.39851433013536,0.029015242503219945,3.8804447218932805
1610612744,2015-16,2015,15,9,28.022012711929694,0.8892789065006925,0.4084975684455367,0.5970560821260653,0.5589450270098506,0.06666666666666667,0.02476688285203777,,,,112.23152289710661,101.38498196437817,10.84830843116284,0.584216342757854,0.5567662490295895,0.19461307146777038,0.11291298825462871,0.16969477268053673,0.09177653261141427,101.2810535786523,0.06469319807014652,2.884612219054927
1610612745,2015-16,2015,15,8,28.21877669305248,0.8622681353523881,0.4539182585834785,0.6576866927540279,0.5381777941718923,0.06666666666666667,0.04833785080106851,,,,106.0687542628776,105.73074901403356,0.3324245023201956,0.5515539511622766,0.5253463942257954,0.19745218179684193,0.10134291150627686,0.14694602475961716,0.09233437174361922,99.52009540606213,0.05288667128870941,4.636809247747852
1610612746,2015-16,2015,16,10,30.23412234136912,0.8881050708409851,0.3591253562381612,0.5676998825250618,0.42934782608695654,0.0625,0.11128855050282253,,,,106.11889178270584,101.71934863517598,4.401480525016087,0.5524871742737542,0.5299128914812601,0.19597725368766847,0.10715541256867418,0.14978401741569455,0.08372789705866496,97.688268455135,0.05476540879058605,4.219004621945797
