TEAM_ID,TEAM_NAME,GP,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,POSS,PIE,GP_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SEASON,SEASON_START_YEAR,TEAM_SUCCESS_GROUP,SHOOTING_EFFICIENCY_GAP,REB_PCT_BALANCE,PACE_ADJ_NET_RATING,POSSESSION_CONTROL_INDEX,TEAM_SUCCESS_GROUP_ENCODED,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,TWO_PCT,FG3A_RATE,FT_RATE,OREB_SHARE,ASSISTED_FG_RATE,BALL_CONTROL,NEXT_W_PCT,NEXT_SEASON_START_YEAR,W_PCT_CHANGE,DECLINE_RISK,PLAYER_COUNT,ROTATION_PLAYER_COUNT,MINUTES_WEIGHTED_AGE,MINUTES_WEIGHTED_AVAILABILITY,TOP3_MINUTES_SHARE,TOP5_MINUTES_SHARE,TOP3_POINTS_SHARE,MULTI_TEAM_PLAYER_SHARE,MULTI_TEAM_MINUTES_SHARE,RETURNING_MINUTES_SHARE,RETURNING_POINTS_SHARE,RETURNING_PLAYER_SHARE,MW_PLAYER_OFF_RATING,MW_PLAYER_DEF_RATING,MW_PLAYER_NET_RATING,MW_PLAYER_TS_PCT,MW_PLAYER_EFG_PCT,MW_PLAYER_USG_PCT,MW_PLAYER_PIE,MW_PLAYER_AST_PCT,MW_PLAYER_REB_PCT,MW_PLAYER_PACE,ROTATION_USAGE_STD,ROTATION_AGE_STD
1610612738,Boston Celtics,82,0.585,3956.0,105.8,102.5,3.3,0.616,1.76,17.4,0.29,0.707,0.495,0.138,0.488,0.531,99.43,8191,0.52,1,7,23,10,4,8,5,4,10,12,24,18,5,24,21,3,9,2015-16,2015,Average,0.043,0.417,3.319,0.357,1,39.2,89.2,0.439,8.7,26.1,0.335,18.5,23.5,0.788,11.6,33.3,44.9,24.2,13.7,9.2,4.2,5.5,21.9,21.0,105.7,3.2,7,1,24,12,11,28,8,12,6,3,15,6,6,12,2,22,24,29,10,5,8,0.483,0.293,0.263,0.258,0.617,10.5,0.646,2016.0,0.061000000000000054,0.0,15,9,25.64314270264625,0.8978998029405154,0.38781496485202205,0.6045582540675115,0.4749852158486103,0.0,0.0,,,,105.01125036520321,101.45929046354591,3.5656543600193844,0.529890997120235,0.4909548091384311,0.19520900024728086,0.10341977875913332,0.1546466319955567,0.0859093122182217,100.51421434893706,0.044080173869837,2.1829869671542776
1610612738,Boston Celtics,82,0.646,3951.0,110.6,108.0,2.6,0.653,1.9,18.8,0.259,0.705,0.485,0.136,0.525,0.567,97.21,8005,0.514,1,4,25,7,14,8,2,3,2,23,29,27,7,9,6,13,7,2016-17,2016,Successful,0.042,0.446,2.675,0.349,2,38.6,85.1,0.454,12.0,33.4,0.359,18.7,23.2,0.807,9.1,32.9,42.0,25.2,13.3,7.5,4.1,5.2,20.6,20.3,108.0,2.6,21,18,16,3,3,14,10,15,3,22,22,27,4,8,18,23,23,21,11,7,8,0.515,0.392,0.273,0.217,0.653,11.9,0.671,2017.0,0.025000000000000022,0.0,15,10,26.50167754998734,0.8878886811355775,0.36973517253016114,0.5736203492786637,0.46855594445071697,0.0,0.0,0.7929898759807643,0.8036581235181213,0.7333333333333333,109.41710596473469,106.72523384797098,2.677960912849067,0.5609835818780057,0.5242020309626256,0.19514185303298745,0.10282146578925166,0.16561090466548553,0.08519402151354089,98.36020736859865,0.05552621002733754,3.3778691508109073
1610612738,Boston Celtics,82,0.671,3961.0,106.8,103.2,3.6,0.586,1.6,17.0,0.263,0.739,0.504,0.144,0.518,0.552,96.75,7987,0.519,1,4,12,18,2,7,13,17,21,19,10,11,15,15,14,22,8,2017-18,2017,Successful,0.034,0.476,3.721,0.36,2,38.3,85.1,0.45,11.5,30.4,0.377,16.0,20.7,0.771,9.4,35.1,44.5,22.5,14.0,7.4,4.5,4.4,19.7,19.2,104.0,3.6,25,25,21,7,10,2,21,20,17,20,6,8,20,15,23,18,6,17,22,20,6,0.49,0.357,0.243,0.211,0.587,8.5,0.598,2018.0,-0.07300000000000006,1.0,19,10,25.351723103413896,0.8197386418998263,0.337778210706784,0.5343772347650111,0.4090805644060082,0.05263157894736842,0.05116300560835132,0.39867236986002513,0.3862084660901229,0.21052631578947367,105.40426541755907,102.17664628013443,3.2165008105266635,0.5469661893187437,0.5139405841805282,0.19356479097079768,0.10495941607343967,0.14891412849520425,0.09186843153689733,98.02252850401936,0.04954482818619921,3.8223029707232783
1610612738,Boston Celtics,82,0.598,3956.0,111.3,107.0,4.3,0.624,2.05,18.8,0.257,0.728,0.495,0.127,0.534,0.567,100.43,8282,0.53,1,9,18,10,6,6,8,2,4,24,15,23,3,7,10,16,5,2018-19,2018,Average,0.033,0.471,4.282,0.368,1,42.1,90.5,0.465,12.6,34.5,0.365,15.6,19.5,0.802,9.8,34.7,44.5,26.3,12.8,8.6,5.3,3.9,20.4,19.5,112.4,4.4,11,9,14,6,7,7,28,29,4,20,16,22,5,3,4,10,2,12,26,14,6,0.527,0.381,0.215,0.22,0.625,13.5,0.667,2019.0,0.06900000000000006,0.0,16,8,26.366203347461592,0.8808246573356675,0.34732050524605335,0.5527896496534798,0.4218241042345277,0.0,0.0,0.9645022254323812,0.9720955483170467,0.75,109.94603047927919,105.60861091047619,4.318938003946024,0.5675619683256202,0.5353584342665175,0.1939769093586153,0.10580874235468529,0.1572713825661962,0.0877240448676835,101.70730163395031,0.03847645383867905,3.7059917700933984
1610612738,Boston Celtics,72,0.667,3486.0,112.8,106.5,6.3,0.557,1.66,16.7,0.283,0.731,0.509,0.137,0.531,0.57,99.92,7255,0.531,11,5,13,4,4,3,26,15,25,5,16,12,8,17,13,17,4,2019-20,2019,Successful,0.039,0.448,6.305,0.372,2,41.3,89.6,0.461,12.6,34.5,0.364,18.6,23.2,0.801,10.7,35.4,46.1,23.0,13.8,8.3,5.6,5.5,21.6,20.7,113.7,6.3,12,11,17,12,13,13,11,18,5,6,11,8,25,8,6,5,25,20,15,9,3,0.521,0.385,0.259,0.232,0.557,9.2,0.5,2020.0,-0.16700000000000004,1.0,17,10,25.8683283610633,0.8271135070126245,0.35100516351118766,0.5507982405813732,0.4706098008065502,0.0,0.0,0.6994623254924459,0.716729805694733,0.47058823529411764,111.62819545802257,105.0559110250526,6.552001721170396,0.5682847274813541,0.5299565858672787,0.19453522059667241,0.106082212086441,0.13961243574297186,0.09001479824058137,101.13403329126028,0.06024948132556828,3.257299494980466
1610612738,Boston Celtics,72,0.5,3476.0,113.1,111.8,1.2,0.566,1.67,17.1,0.289,0.737,0.51,0.141,0.543,0.574,98.94,7172,0.501,1,16,16,10,13,13,27,22,26,3,13,10,18,12,16,20,17,2020-21,2020,Average,0.031,0.448,1.213,0.369,1,41.5,88.9,0.466,13.6,36.4,0.374,16.1,20.8,0.775,10.6,33.6,44.3,23.5,14.1,7.7,5.3,4.6,20.4,19.3,112.6,1.5,13,11,19,11,10,10,25,25,16,4,22,15,25,16,13,6,11,24,13,16,13,0.531,0.409,0.234,0.239,0.566,9.4,0.622,2021.0,0.122,0.0,18,10,24.95746182242364,0.7753796543337577,0.3542101016127551,0.5083495171410234,0.4894864279342424,0.16666666666666666,0.10692809119108362,0.5958697119079399,0.6429208614757232,0.5555555555555556,110.08946898034517,110.80560916408675,-0.7150557135688819,0.5717869486412491,0.5454088083631655,0.1951279552903475,0.10291953111429852,0.13763859908790008,0.09778900616149717,100.66086791508536,0.062468311966948485,2.7586228448267445
1610612738,Boston Celtics,82,0.622,3981.0,113.6,106.2,7.4,0.609,1.82,18.2,0.277,0.725,0.509,0.139,0.542,0.578,97.26,8068,0.547,1,6,2,9,1,2,14,11,10,11,16,10,13,9,9,24,2,2021-22,2021,Successful,0.036,0.448,7.608,0.37,2,40.7,87.4,0.466,13.2,37.1,0.356,17.0,20.9,0.816,10.5,35.5,46.1,24.8,13.6,7.2,5.8,4.6,18.5,19.4,111.8,7.3,13,18,15,8,9,14,14,24,2,11,4,5,14,13,19,2,11,5,20,12,2,0.547,0.424,0.239,0.228,0.609,11.2,0.695,2022.0,0.07299999999999995,0.0,22,9,26.569068908724002,0.8549344391631435,0.3790698580636905,0.5989397209394609,0.5161109239923656,0.3181818181818182,0.20199063196122513,0.7700446451182538,0.7967890423262602,0.45454545454545453,112.0899318820437,105.17281656882831,6.923193789696936,0.587750226198271,0.5534864820216944,0.19544526254647426,0.11215460262811051,0.15891258307485115,0.09382739905943016,98.84132837904126,0.06687965975458375,3.909469352390929
1610612738,Boston Celtics,82,0.695,3996.0,117.3,110.6,6.7,0.632,2.0,19.1,0.255,0.746,0.506,0.133,0.566,0.6,99.15,8247,0.534,1,2,1,2,2,1,5,4,5,27,1,9,7,4,5,20,1,2022-23,2022,Successful,0.034,0.491,6.757,0.373,2,42.2,88.8,0.475,16.0,42.6,0.377,17.5,21.6,0.812,9.7,35.6,45.3,26.7,13.4,6.4,5.2,3.9,18.8,19.1,117.9,6.5,13,15,14,2,2,6,24,28,4,20,3,7,7,7,27,6,4,7,25,4,1,0.567,0.48,0.243,0.214,0.633,13.3,0.78,2023.0,0.08500000000000008,0.0,18,8,27.8891384895642,0.8170448969724979,0.3617363054167874,0.5558631295655517,0.5055320860993764,0.1111111111111111,0.04751258413511587,0.8217976504224088,0.835646751156709,0.5555555555555556,116.215703723109,109.28326271825404,6.940374958915341,0.6043745742861174,0.5749370611723792,0.19325884495609752,0.10687183567268271,0.15715552669017135,0.09150477148035355,100.34190163534126,0.07296906450681685,3.9370039370059056
1610612738,Boston Celtics,82,0.78,3966.0,122.2,110.6,11.7,0.613,2.25,19.3,0.287,0.726,0.515,0.121,0.578,0.609,97.98,8090,0.555,1,1,7,1,2,1,21,3,13,14,7,5,1,2,1,19,1,2023-24,2023,Successful,0.031,0.439,11.941,0.394,2,43.9,90.2,0.487,16.5,42.5,0.388,16.3,20.2,0.807,10.7,35.6,46.3,26.9,11.9,6.8,6.6,3.7,16.2,17.3,120.6,11.3,4,8,8,1,1,2,19,26,7,14,1,2,14,1,27,1,1,2,30,2,1,0.574,0.471,0.224,0.231,0.613,15.0,0.744,2024.0,-0.03600000000000003,0.0,18,8,28.38662424229246,0.8180187073993144,0.3560516340390372,0.5536299496109892,0.46825318455613707,0.1111111111111111,0.07158750751969617,0.6618373909493058,0.7025772686876667,0.4444444444444444,120.31870168368717,109.5253149333314,10.79980818030198,0.6043282887949883,0.5775924136231526,0.1931383847169172,0.10932018354903891,0.15298510170011573,0.09255785628058714,99.0149278471563,0.061870706921773565,4.14578098794425
1610612738,Boston Celtics,82,0.744,3966.0,119.5,110.1,9.4,0.628,2.2,19.0,0.291,0.717,0.506,0.122,0.561,0.591,96.59,7979,0.542,1,3,6,2,4,2,20,3,13,18,7,11,2,5,8,29,3,2024-25,2024,Successful,0.03,0.426,9.732,0.384,2,41.6,90.0,0.462,17.8,48.2,0.368,15.3,19.1,0.799,11.4,33.9,45.3,26.1,11.9,7.2,5.5,3.6,15.9,17.5,116.3,9.1,16,11,19,1,1,10,30,30,6,10,7,8,16,2,29,5,1,2,27,8,3,0.569,0.536,0.212,0.252,0.627,14.2,,,,,17,9,29.315764374124758,0.8125454019179695,0.37715209341621897,0.581880340096284,0.4793215370118312,0.058823529411764705,0.01585441624710696,0.9629957850725345,0.9761281541199874,0.8235294117647058,118.21821975159553,109.03774310236771,9.183678463940982,0.5933887052266008,0.5675813768516162,0.1946335411871588,0.10842787893652324,0.15976378545903047,0.08974015752405541,97.63691938864949,0.06440343522775631,3.9283710065919304
1610612739,Cleveland Cavaliers,82,0.695,3971.0,110.2,103.9,6.3,0.587,1.67,17.4,0.294,0.742,0.519,0.143,0.524,0.558,93.82,7764,0.528,1,3,9,3,10,4,16,10,11,10,5,4,13,3,4,28,5,2015-16,2015,Successful,0.034,0.448,6.715,0.376,2,38.7,84.0,0.46,10.7,29.6,0.362,16.3,21.7,0.748,10.6,33.9,44.5,22.7,13.6,6.7,3.9,4.4,20.3,20.6,104.3,6.0,8,19,10,2,3,7,26,24,21,12,11,9,13,10,28,27,7,14,12,8,4,0.515,0.352,0.258,0.238,0.587,9.1,0.622,2016.0,-0.07299999999999995,1.0,17,10,28.60319370113314,0.8488175576403948,0.3667480551937034,0.569162700202687,0.47904533516044306,0.17647058823529413,0.08835973886621995,,,,108.93507454598077,102.76318908026342,6.15123164609064,0.5583428441477534,0.5282149534638622,0.19326275230776394,0.10436469598453273,0.1501315943117795,0.09174242280533766,94.85516914006071,0.06331232107575903,3.7202150475476548
1610612739,Cleveland Cavaliers,82,0.622,3976.0,112.8,109.7,3.1,0.567,1.66,17.1,0.264,0.722,0.499,0.14,0.547,0.58,96.74,8019,0.51,1,5,4,3,21,7,20,16,15,21,14,18,11,2,3,16,9,2016-17,2016,Successful,0.033,0.458,3.204,0.359,2,39.9,84.9,0.47,13.0,33.9,0.384,17.5,23.3,0.748,9.3,34.4,43.7,22.7,13.7,6.6,4.0,4.3,18.1,20.6,110.3,3.2,5,19,5,2,2,2,19,13,23,21,7,12,13,14,30,25,8,4,6,4,7,0.527,0.399,0.274,0.213,0.569,9.0,0.61,2017.0,-0.01200000000000001,0.0,19,10,30.18519187644839,0.8367289938889895,0.35133523930651295,0.5267317863121469,0.4984777755226304,0.2631578947368421,0.22145465047920354,0.7550374461162801,0.800284148569109,0.5789473684210527,110.73336193720873,108.48646057139729,2.259410420050932,0.5720942560287275,0.5451090028702801,0.1963410532181999,0.10269145438889106,0.1615197111271192,0.0886291690231273,97.26489218131333,0.06605187355404842,4.011234224026316
